"id_dep","nome","uf","partido","clust"
92346,"Eduardo Bolsonaro","SP","psc","4"
178977,"Eduardo Cury","SP","psdb","4"
141422,"Efraim Filho","PB","dem","4"
160532,"Eli Corrêa Filho","SP","dem","4"
181316,"Elizeu Dionizio","MS","psdb","4"
178883,"Eliziane Gama","MA","rede","4"
178854,"Elmar Nascimento","BA","dem","4"
99654,"Erivelton Santana","BA","psc","4"
160649,"Esperidião Amin","SC","pp","4"
178871,"Evair de Melo","ES","pv","4"
178828,"Evandro Gussi","SP","pv","4"
178953,"Expedito Netto","RO","solidaried","4"
178941,"Ezequiel Teixeira","RJ","solidaried","4"
178905,"Fabio Garcia","MT","psb","4"
178877,"Fábio Sousa","GO","psdb","4"
141429,"Felipe Maia","RN","dem","4"
141431,"Fernando Coelho Filho","PE","psb","4"
160646,"Fernando Francischini","PR","solidaried","4"
178978,"Flavinho","SP","psb","4"
160669,"Genecias Noronha","CE","solidaried","4"
178966,"Geovania de Sá","SC","psdb","4"
74270,"Gilberto Nascimento","SP","psc","4"
178878,"Giuseppe Vecci","GO","psdb","4"
74419,"Gonzaga Patriota","PE","psb","4"
178964,"Heitor Schuch","RS","psb","4"
178909,"Hélio Leite","PA","dem","4"
97707,"Heráclito Fortes","PI","psb","4"
178849,"Hissa Abrahão","AM","pps","4"
178855,"Irmão Lazaro","BA","psc","4"
4931,"Izalci","DF","psdb","4"
74847,"Jair Bolsonaro","RJ","pp","4"
131943,"Jarbas Vasconcelos","PE","pmdb","4"
74273,"Jefferson Campos","SP","psd","4"
160570,"Jerônimo Goergen","RS","pp","4"
178842,"JHC","AL","psb","4"
74366,"João Campos","GO","psdb","4"
74445,"João Castelo","MA","psdb","4"
178917,"João Fernando Coutinho","PE","psb","4"
178856,"João Gualberto","BA","psdb","4"
178988,"João Paulo Papa","SP","psdb","4"
160571,"João Rodrigues","SC","psd","4"
74388,"Jorge Boeira","SC","pp","4"
73535,"Jorge Tadeu Mudalen","SP","dem","4"
74553,"José Carlos Aleluia","BA","dem","4"
74395,"José Otávio Germano","RS","pp","4"
160607,"Jose Stédile","RS","psb","4"
67312,"Júlia Marinho","PA","psc","4"
73586,"Júlio Delgado","MG","psb","4"
74570,"Jutahy Junior","BA","psdb","4"
160659,"Keiko Ota","SP","psb","4"
151208,"Laercio Oliveira","SE","solidaried","4"
178832,"Leandre","PR","pv","4"
160663,"Leopoldo Meyer","PR","psb","4"
74277,"Lobbe Neto","SP","psdb","4"
178879,"Lucas Vergilio","GO","solidaried","4"
178931,"Luciano Ducci","PR","psb","4"
73483,"Luis Carlos Heinze","RS","pp","4"
73778,"Luiz Carlos Hauly","PR","psdb","4"
160633,"Mandetta","MS","dem","4"
160565,"Mara Gabrilli","SP","psdb","4"
160660,"Marcelo Aguiar","SP","dem","4"
178932,"Marcelo Belinati","PR","pp","4"
178880,"Marcos Abrão","GO","pps","4"
160536,"Marco Tebaldi","SC","psdb","4"
159238,"Marcus Pestana","MG","psdb","4"
64960,"Maria Helena","RR","psb","4"
178956,"Mariana Carvalho","RO","psdb","4"
178919,"Marinaldo Rosendo","PE","psb","4"
