"","nome","partido","uf","dim1","dim2"
"211","Givaldo Vieira","pt","ES",-0.596719386960489,0.238574681830217
"212","Glauber Braga","s.part.","RJ",0.069427898544626,0.880392865513363
"213","Gonzaga Patriota","psb","PE",0.260387852437148,0.170879980747262
"214","Gorete Pereira","pr","CE",-0.153482639091617,-0.266727491940536
"215","Goulart","psd","SP",-0.114476276703101,-0.304718199849507
"216","Guilherme Mussi","pp","SP",-0.0480397143478124,-0.301039039105143
"217","Heitor Schuch","psb","RS",0.266199934544007,0.347116899728356
"218","Helder Salomão","pt","ES",-0.662135491366843,0.344550514932204
"219","Hélio Leite","dem","PA",0.703578403646351,0.0423049919945993
"220","Henrique Fontana","pt","RS",-0.71043133504655,0.407115730785692
"221","Heráclito Fortes","psb","PI",0.360748842063131,0.0472921708497586
"222","Herculano Passos","psd","SP",-0.263629575811775,-0.172753351638048
"223","Hermes Parcianello","pmdb","PR",0.206025070815728,-0.114388550488574
"224","Heuler Cruvinel","psd","GO",0.0045407319139687,-0.249872707237479
"225","Hildo Rocha","pmdb","MA",-0.00696153124139684,-0.311630396385219
"226","Hiran Gonçalves","pmn","RR",-0.267334690822761,-0.109445228529744
"227","Hissa Abrahão","pps","AM",0.496837492587288,0.495229800867371
"228","Hugo Leal","pros","RJ",-0.349189478415439,-0.117507465336237
"229","Hugo Leal","psc","RJ",-0.000106939837952041,-0.00238680557299903
"230","Hugo Motta","pmdb","PB",-0.0836895032661432,-0.305984164542022
"231","Indio da Costa","psd","RJ",-0.111705849918474,-0.268854225423022
"232","Iracema Portella","pp","PI",-0.071610152747557,-0.235920550386382
"233","Irajá Abreu","psd","TO",-0.0681023525744067,-0.225096103335712
"234","Irmão Lazaro","psc","BA",0.191124191182413,-0.0310368657095249
"235","Ivan Valente","psol","SP",0.0111304412625518,1.0003139910309
"236","Izalci","s.part.","DF",0.645830650057165,-0.00656100169835311
"237","Jaime Martins","s.part.","MG",0.00733447232410482,-0.146211296964102
"238","Jair Bolsonaro","pp","RJ",0.724165512644153,0.0798728506601939
"239","Jandira Feghali","pcdob","RJ",-0.555328403374188,0.544252411261261
"240","Janete Capiberibe","psb","AP",0.000115543533664297,0.25768212205429
"241","Jarbas Vasconcelos","pmdb","PE",0.519143903882648,0.313731511941777
"242","Jean Wyllys","psol","RJ",0.0789905472367271,0.891245425895686
"243","Jefferson Campos","psd","SP",0.304629166281044,-0.0541942665157585
"244","Jerônimo Goergen","pp","RS",0.668928479458527,0.0331521757444737
"245","Jéssica Sales","pmdb","AC",-0.0452382183435555,-0.28313499934973
"246","JHC","psb","AL",0.0399842916427122,0.022767678452556
"247","JHC","solidaried","AL",0.281145958733116,0.262624489600251
"248","Jhonatan de Jesus","prb","RR",-0.159561452037444,-0.160863162168927
"249","João Arruda","pmdb","PR",-0.157623463102438,0.0696015033438525
"250","João Campos","psdb","GO",0.613392048162292,0.134721976431751
"251","João Carlos Bacelar","pr","BA",-0.179592544116373,-0.21103222472083
"252","João Castelo","psdb","MA",0.589608029234722,0.0333036179641674
"253","João Daniel","pt","SE",-0.701860772290469,0.39137545528086
"254","João Derly","s.part.","RS",-0.22568046759405,0.637850255936107
"255","João Fernando Coutinho","psb","PE",0.245157054528002,0.225094621173397
"256","João Gualberto","psdb","BA",0.631401252030715,-0.0198289632118488
"257","João Marcelo Souza","pmdb","MA",-0.330784770311505,-0.233296426139342
"258","João Paulo Papa","psdb","SP",0.67077228652802,0.100198445238469
"259","João Rodrigues","psd","SC",0.285466126451334,-0.179230146591201
"260","Joaquim Passarinho","psd","PA",-0.0535377421630911,-0.24775316677955
"261","Jô Moraes","pcdob","MG",-0.584836971827517,0.506806935970198
"262","Jony Marcos","prb","SE",-0.383185147604399,-0.102723221777672
"263","Jorge Boeira","pp","SC",0.223949563474231,0.119288691892458
"264","Jorge Boeira","psd","SC",0.000250640245200134,0.00559407556171649
"265","Jorge Côrte Real","ptb","PE",-0.161263246587159,-0.277744774995519
"266","Jorge Solla","pt","BA",-0.558692481515249,0.323142485994159
"267","Jorge Tadeu Mudalen","dem","SP",0.444864616601187,-0.0751805209646518
"268","Jorginho Mello","s.part.","SC",-0.114793729428827,-0.257452396762668
"269","José Airton Cirilo","pt","CE",-0.606892393105548,0.21900830317607
"270","José Carlos Aleluia","dem","BA",0.469372541394883,-0.00270136724543073
"271","José Carlos Araújo","psd","BA",-0.142710727224697,-0.326968017740026
"272","José Fogaça","pmdb","RS",-0.129311610738015,0.209622064507755
"273","José Guimarães","pt","CE",-0.580914098814929,0.0789394445199229
"274","José Maia Filho","solidaried","PI",-0.136483509791184,-0.00974422145151146
"275","José Mentor","pt","SP",-0.628696018600251,0.221351194064076
"276","José Nunes","psd","BA",-0.211710353052918,-0.294570461468981
"277","José Otávio Germano","pp","RS",0.300754046697526,0.0071232808186465
"278","José Priante","pmdb","PA",-0.186648022029948,-0.280778468908187
"279","José Reinaldo","psb","MA",0.178165708101995,-0.197020223191827
"280","José Rocha","pr","BA",-0.373537460160403,-0.246692409532907
"281","Jose Stédile","psb","RS",0.280411955512523,0.509556160498637
"282","Josi Nunes","pmdb","TO",-0.201681789417778,-0.208666357864633
"283","Josué Bengtson","ptb","PA",-0.0137421829159044,-0.229985241435781
"284","Jovair Arantes","ptb","GO",-0.157179028622619,-0.350885836266439
"285","Jozi Rocha","ptb","AP",-0.111856814053739,-0.261797441608305
"286","Júlia Marinho","psc","PA",0.407381523147884,-0.0517041168091628
"287","Júlio Cesar","psd","PI",-0.182121779665297,-0.290254593204849
"288","Júlio Delgado","psb","MG",0.228802287963364,0.155293056782561
"289","Julio Lopes","pp","RJ",0.0758971394200066,-0.293629854575867
"290","Junior Marreca","pen","MA",-0.0371799627292873,-0.155920590707269
"291","Juscelino Filho","prp","MA",-0.140890495545003,-0.271636003698985
"292","Jutahy Junior","psdb","BA",0.527312158316354,0.0378422797467786
"293","Kaio Maniçoba","phs","PE",-0.0368840727526706,-0.203733982329393
"294","Keiko Ota","psb","SP",0.228609819785065,0.0684799817223833
"295","Laercio Oliveira","solidaried","SE",0.264039097644831,-0.0202258631060492
"296","Laerte Bessa","pr","DF",-0.223654611437807,-0.25676558339992
"297","Laudivio Carvalho","pmdb","MG",-0.0572370738798101,-0.268763830616687
"298","Lázaro Botelho","pp","TO",-0.26784438963973,-0.359195172937038
"299","Leandre","pv","PR",0.4943233915661,0.347685335077054
"300","Lelo Coimbra","pmdb","ES",-0.112526734581605,-0.0400121037904471
"301","Leo de Brito","pt","AC",-0.637362210904085,0.266392653845628
"302","Leonardo Monteiro","pt","MG",-0.528077825849216,0.32218514007155
"303","Leonardo Picciani","pmdb","RJ",-0.249796443661004,-0.354076510659419
"304","Leonardo Quintão","pmdb","MG",-0.100899294576892,-0.308155376789899
