Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Fábio Faria,PSD       ,RN,Sim            ,141428,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Delegado Waldir,PSDB      ,GO,Sim            ,164359,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Helder Salomão,PT        ,ES,Sim            ,178873,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Antonio Balhmann,PROS      ,CE,Sim            ,74213,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Nelson Marquezelli,PTB       ,SP,Sim            ,73553,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,José Reinaldo,PSB       ,MA,Sim            ,73714,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Ricardo Barros,PP        ,PR,Sim            ,73788,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Assis Carvalho,PT        ,PI,Sim            ,159237,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Miguel Haddad,PSDB      ,SP,Sim            ,178984,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Rodrigo de Castro,PSDB      ,MG,Sim            ,141531,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Márcio Marinho,PRB       ,BA,Sim            ,150418,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Carlos Andrade,PHS       ,RR,Sim            ,178958,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Paulo Foletto,PSB       ,ES,Sim            ,160517,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Nilton Capixaba,PTB       ,RO,Sim            ,74359,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Fabio Garcia,PSB       ,MT,Sim            ,178905,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,João Campos,PSDB      ,GO,Sim            ,74366,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Rodrigo Maia,DEM       ,RJ,Sim            ,74693,-,-
