Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Cleber Verde,PRB       ,MA,Sim            ,141408,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Paulo Foletto,PSB       ,ES,Sim            ,160517,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Nilton Capixaba,PTB       ,RO,Sim            ,74359,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,João Campos,PSDB      ,GO,Sim            ,74366,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Rogério Marinho,PSDB      ,RN,Sim            ,141535,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Rodrigo Maia,DEM       ,RJ,Sim            ,74693,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Mário Heringer,PDT       ,MG,Sim            ,74158,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Jaime Martins,PSD       ,MG,Sim            ,74665,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Alice Portugal,PCdoB     ,BA,Sim            ,74057,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Alberto Fraga,DEM       ,DF,Sim            ,73579,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,José Mentor,PT        ,SP,Sim            ,74275,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Marinaldo Rosendo,PSB       ,PE,Sim            ,178919,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Samuel Moreira,PSDB      ,SP,Sim            ,178990,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Andres Sanchez,PT        ,SP,Sim            ,178974,-,-
2008,3131,PL,26/3/2015,13:13,SUBEMENDA SUBSTITUTIVA AS EMENDAS DE PLENÁRIO 1 E 2 E AO PL 846/15,Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015  apensado  oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania  ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.,5481,Max Filho,PSDB      ,ES,Sim            ,178827,-,-
