Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Valmir Prascidelli,PT        ,SP,Obstrução      ,113247,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Janete Capiberibe,PSB       ,AP,Obstrução      ,73926,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Assis Carvalho,PT        ,PI,Obstrução      ,159237,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Miguel Haddad,PSDB      ,SP,Não            ,178984,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Laercio Oliveira,Solidaried,SE,Não            ,151208,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Márcio Marinho,PRB       ,BA,Sim            ,150418,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Cleber Verde,PRB       ,MA,Sim            ,141408,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Carlos Andrade,PHS       ,RR,Sim            ,178958,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Paulo Foletto,PSB       ,ES,Não            ,160517,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Rejane Dias,PT        ,PI,Obstrução      ,178925,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,João Campos,PSDB      ,GO,Sim            ,74366,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Rodrigo Maia,DEM       ,RJ,Sim            ,74693,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Jaime Martins,PSD       ,MG,Sim            ,74665,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Alice Portugal,PCdoB     ,BA,Obstrução      ,74057,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Alberto Fraga,DEM       ,DF,Sim            ,73579,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Celso Pansera,PMDB      ,RJ,Sim            ,72912,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Wladimir Costa,Solidaried,PA,Sim            ,73930,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,José Mentor,PT        ,SP,Obstrução      ,74275,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Marinaldo Rosendo,PSB       ,PE,Não            ,178919,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Samuel Moreira,PSDB      ,SP,Sim            ,178990,-,-
