Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Leopoldo Meyer,PSB       ,PR,Sim            ,160663,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,José Airton Cirilo,PT        ,CE,Sim            ,141464,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Professora Marcivania,PT        ,AP,Não            ,160641,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Zé Silva,Solidaried,MG,Sim            ,160632,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Leo de Brito,PT        ,AC,Sim            ,178825,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Victor Mendes,PV        ,MA,Sim            ,178888,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Manoel Junior,PMDB      ,PB,Sim            ,141490,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Geraldo Resende,PMDB      ,MS,Sim            ,74374,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Zé Geraldo,PT        ,PA,Sim            ,73931,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Efraim Filho,DEM       ,PB,Sim            ,141422,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Luiz Carlos Ramos,PSDC      ,RJ,Sim            ,178802,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Covatti Filho,PP        ,RS,Sim            ,178963,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Átila Lira,PSB       ,PI,Sim            ,74459,-,-
2014,9909,REQ,26/2/2015,16:50,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 5201/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 292; não: 26; abstenção: 3; total: 321.,5453,Christiane de Souza Yared,PTN       ,PR,Sim            ,178928,-,-
