Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Mário Heringer,PDT       ,MG,Sim            ,74158,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Lelo Coimbra,PMDB      ,ES,Sim            ,141562,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Alice Portugal,PCdoB     ,BA,Sim            ,74057,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Marcos Rogério,PDT       ,RO,Sim            ,167722,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Alberto Fraga,DEM       ,DF,Sim            ,73579,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Marinaldo Rosendo,PSB       ,PE,Sim            ,178919,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Samuel Moreira,PSDB      ,SP,Sim            ,178990,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Jerônimo Goergen,PP        ,RS,Sim            ,160570,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Andres Sanchez,PT        ,SP,Sim            ,178974,-,-
2015,1125,REQ,26/3/2015,11:19,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 6701/2013,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 290; não: 32; abstenção: 3; total: 325.,5481,Max Filho,PSDB      ,ES,Sim            ,178827,-,-
