Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Lelo Coimbra,PMDB      ,ES,Sim            ,141562,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Alice Portugal,PCdoB     ,BA,Não            ,74057,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Marcos Rogério,PDT       ,RO,Sim            ,167722,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Alberto Fraga,DEM       ,DF,Sim            ,73579,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,José Mentor,PT        ,SP,Não            ,74275,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Marinaldo Rosendo,PSB       ,PE,Não            ,178919,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Samuel Moreira,PSDB      ,SP,Sim            ,178990,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Ricardo Izar,PSD       ,SP,Sim            ,160655,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Andres Sanchez,PT        ,SP,Sim            ,178974,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Max Filho,PSDB      ,ES,Não            ,178827,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Laudivio Carvalho,PMDB      ,MG,Sim            ,178894,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Caetano,PT        ,BA,Não            ,178853,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Arnaldo Faria de Sá,PTB       ,SP,Sim            ,73434,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Ronaldo Fonseca,PROS      ,DF,Sim            ,160637,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Washington Reis,PMDB      ,RJ,Sim            ,160620,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Cesar Souza,PSD       ,SC,Sim            ,73720,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Flavinho,PSB       ,SP,Sim            ,178978,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Reginaldo Lopes,PT        ,MG,Obstrução      ,74161,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Vicentinho,PT        ,SP,Obstrução      ,74283,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Aníbal Gomes,PMDB      ,CE,Não            ,74212,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Delegado Éder Mauro,PSD       ,PA,Sim            ,178908,-,-
