id,idLegislatura,nome,siglaPartido,siglaUf,uri,uriPartido,urlFoto
167493,55,WEVERTON ROCHA,pdt,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/167493,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/167493.jpg
74439,55,WOLNEY QUEIROZ,pdt,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/74439,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,http://www.camara.leg.br/internet/deputado/bandep/74439.jpg
178833,55,ALEXANDRE SERFIOTIS,psd,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/178833,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,http://www.camara.leg.br/internet/deputado/bandep/178833.jpg
178937,55,ALTINEU CÔRTES,pr,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/178937,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,http://www.camara.leg.br/internet/deputado/bandep/178937.jpg
195143,55,ANDRÉ AMARAL,pros,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/195143,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,http://www.camara.leg.br/internet/deputado/bandep/195143.jpg
74212,55,ANÍBAL GOMES,dem,CE,https://dadosabertos.camara.leg.br/api/v2/deputados/74212,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/74212.jpg
178975,55,BALEIA ROSSI,pmdb,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/178975,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/178975.jpg
105112,55,CABUÇU BORGES,pmdb,AP,https://dadosabertos.camara.leg.br/api/v2/deputados/105112,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/105112.jpg
141401,55,CARLOS BEZERRA,pmdb,MT,https://dadosabertos.camara.leg.br/api/v2/deputados/141401,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/141401.jpg
178900,55,CARLOS MARUN,pmdb,MS,https://dadosabertos.camara.leg.br/api/v2/deputados/178900,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/178900.jpg
73568,55,CELSO JACOB,pmdb,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/73568,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/73568.jpg
141405,55,CELSO MALDANER,pmdb,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/141405,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/141405.jpg
72912,55,CELSO PANSERA,pt,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/72912,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,http://www.camara.leg.br/internet/deputado/bandep/72912.jpg
178841,55,CÍCERO ALMEIDA,phs,AL,https://dadosabertos.camara.leg.br/api/v2/deputados/178841,https://dadosabertos.camara.leg.br/api/v2/partidos/36793,http://www.camara.leg.br/internet/deputado/bandep/178841.jpg
144523,55,DANIEL VILELA,pmdb,GO,https://dadosabertos.camara.leg.br/api/v2/deputados/144523,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/144523.jpg
73891,55,DARCÍSIO PERONDI,pmdb,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/73891,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/73891.jpg
178994,55,DULCE MIRANDA,pmdb,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/178994,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/178994.jpg
73447,55,EDINHO ARAÚJO,pmdb,SP,https://dadosabertos.camara.leg.br/api/v2/deputados/73447,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/73447.jpg
73793,55,EDINHO BEZ,pmdb,SC,https://dadosabertos.camara.leg.br/api/v2/deputados/73793,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/73793.jpg
74173,55,EDUARDO CUNHA,pmdb,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/74173,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/74173.jpg
74075,55,ELCIONE BARBALHO,pmdb,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/74075,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/74075.jpg
171623,55,FABIO REIS,pmdb,SE,https://dadosabertos.camara.leg.br/api/v2/deputados/171623,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/171623.jpg
141427,55,FÁBIO RAMALHO,pmdb,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/141427,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/141427.jpg
163831,55,FERNANDO JORDÃO,pmdb,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/163831,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/163831.jpg
141434,55,FLAVIANO MELO,pmdb,AC,https://dadosabertos.camara.leg.br/api/v2/deputados/141434,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/141434.jpg
73772,55,HERMES PARCIANELLO,pmdb,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/73772,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/73772.jpg
178884,55,HILDO ROCHA,pmdb,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/178884.jpg
160674,55,HUGO MOTTA,prb,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/160674,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,http://www.camara.leg.br/internet/deputado/bandep/160674.jpg
131943,55,JARBAS VASCONCELOS,pmdb,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/131943,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/131943.jpg
178839,55,JÉSSICA SALES,pmdb,AC,https://dadosabertos.camara.leg.br/api/v2/deputados/178839,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/178839.jpg
160573,55,JOÃO ARRUDA,pmdb,PR,https://dadosabertos.camara.leg.br/api/v2/deputados/160573,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/160573.jpg
112437,55,JOÃO MARCELO SOUZA,pmdb,MA,https://dadosabertos.camara.leg.br/api/v2/deputados/112437,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/112437.jpg
194262,55,JONES MARTINS,pmdb,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/194262,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/194262.jpg
131966,55,JOSÉ FOGAÇA,pmdb,RS,https://dadosabertos.camara.leg.br/api/v2/deputados/131966,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/131966.jpg
74079,55,JOSÉ PRIANTE,pmdb,PA,https://dadosabertos.camara.leg.br/api/v2/deputados/74079,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/74079.jpg
114941,55,JOSI NUNES,pros,TO,https://dadosabertos.camara.leg.br/api/v2/deputados/114941,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,http://www.camara.leg.br/internet/deputado/bandep/114941.jpg
178918,55,KAIO MANIÇOBA,solidaried,PE,https://dadosabertos.camara.leg.br/api/v2/deputados/178918,https://dadosabertos.camara.leg.br/api/v2/partidos/36765,http://www.camara.leg.br/internet/deputado/bandep/178918.jpg
74856,55,LAURA CARNEIRO,dem,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/74856,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,http://www.camara.leg.br/internet/deputado/bandep/74856.jpg
141562,55,LELO COIMBRA,pmdb,ES,https://dadosabertos.camara.leg.br/api/v2/deputados/141562,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/141562.jpg
74254,55,LEONARDO PICCIANI,pmdb,RJ,https://dadosabertos.camara.leg.br/api/v2/deputados/74254,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/74254.jpg
141482,55,LEONARDO QUINTÃO,pmdb,MG,https://dadosabertos.camara.leg.br/api/v2/deputados/141482,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/141482.jpg
178954,55,LUCIO MOSQUINI,pmdb,RO,https://dadosabertos.camara.leg.br/api/v2/deputados/178954,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/178954.jpg
94931,55,LUCIO VIEIRA LIMA,pmdb,BA,https://dadosabertos.camara.leg.br/api/v2/deputados/94931,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/94931.jpg
141490,55,MANOEL JUNIOR,pmdb,PB,https://dadosabertos.camara.leg.br/api/v2/deputados/141490,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,http://www.camara.leg.br/internet/deputado/bandep/141490.jpg
