id_dep,deputado,partido,uf,voto
141535,Rogério Marinho,psdb,RN,sim
160426,Rogério Rosso,psd,DF,sim
141536,Rômulo Gouveia,psd,PB,sim
160515,Ronaldo Benedet,pmdb,SC,sim
178861,Ronaldo Carletto,pp,BA,não
160637,Ronaldo Fonseca,pros,DF,sim
178845,Ronaldo Lessa,pdt,AL,não
122466,Ronaldo Martins,prb,CE,sim
163321,Ronaldo Nogueira,ptb,RS,sim
178870,Rôney Nemer,pmdb,DF,sim
178945,Rosangela Gomes,prb,RJ,sim
73466,Rubens Bueno,pps,PR,sim
74371,Rubens Otoni,pt,GO,não
178887,Rubens Pereira Júnior,pcdob,MA,não
160630,Ságuas Moraes,pt,MT,não
178990,Samuel Moreira,psdb,SP,sim
160621,Sandro Alex,pps,PR,sim
74762,Saraiva Felipe,pmdb,MG,sim
74210,Sarney Filho,pv,MA,sim
73808,Sérgio Brito,psd,BA,não
141542,Sérgio Moraes,ptb,RS,sim
178991,Sérgio Reis,prb,SP,sim
178933,Sergio Souza,pmdb,PR,sim
178874,Sergio Vidigal,pdt,ES,sim
160612,Sergio Zveiter,psd,RJ,sim
178961,Shéridan,psdb,RR,sim
160613,Sibá Machado,pt,AC,não
74356,Silas Câmara,psd,AM,sim
4930,Silvio Costa,psc,PE,não
73560,Silvio Torres,psdb,SP,sim
178911,Simone Morgado,pmdb,PA,não
178946,Soraya Santos,pmdb,RJ,sim
178947,Sóstenes Cavalcante,psd,RJ,sim
92776,Stefano Aguiar,psb,MG,sim
177282,Subtenente Gonzaga,pdt,MG,sim
178922,Tadeu Alencar,psb,PE,sim
74385,Takayama,psc,PR,sim
178898,Tenente Lúcio,psb,MG,sim
178901,Tereza Cristina,psb,MS,sim
160617,Thiago Peixoto,psd,GO,sim
178862,Tia Eron,prb,BA,sim
160976,Tiririca,pr,SP,sim
160611,Toninho Pinheiro,pp,MG,sim
178934,Toninho Wandscheer,pt,PR,sim
178863,Uldurico Junior,ptc,BA,sim
141384,Valadares Filho,psb,SE,sim
74010,Valdir Colatto,pmdb,SC,sim
113247,Valmir Prascidelli,pt,SP,não
141552,Valtenir Pereira,pros,MT,não
141553,Vanderlei Macris,psdb,SP,sim
74376,Vander Loubet,pt,MS,não
178913,Veneziano Vital do Rêgo,pmdb,PB,sim
74308,Vicente Arruda,pros,CE,não
160622,Vicente Candido,pt,SP,não
74283,Vicentinho,pt,SP,não
137070,Vicentinho Júnior,psb,TO,não
178888,Victor Mendes,pv,MA,sim
141555,Vinicius Carvalho,prb,SP,sim
160591,Vinicius Gurgel,pr,AP,abstenção
178992,Vitor Lippi,psdb,SP,sim
178869,Vitor Valim,pmdb,CE,sim
189593,Wadih Damous,pt,RJ,não
160569,Waldenor Pereira,pt,BA,não
141558,Waldir Maranhão,pp,MA,não
178952,Walter Alves,pmdb,RN,sim
160620,Washington Reis,pmdb,RJ,sim
160518,Weliton Prado,pt,MG,sim
74043,Wellington Roberto,pr,PB,não
167493,Weverton Rocha,pdt,MA,não
160636,Wilson Filho,ptb,PB,sim
73930,Wladimir Costa,solidaried,PA,sim
74439,Wolney Queiroz,pdt,PE,não
178923,Zeca Cavalcanti,ptb,PE,não
