"Dim_1","Dim_2","novo_nome","destaque_partido"
0.672459889635076,0.186619145890399,"Eduardo Barbosa-psdb/MG","psdb"
0.712521040844846,0.0348555988807963,"Eduardo Bolsonaro-psc/SP","outros"
0.722129193408472,0.0757783215257675,"Eduardo Cury-psdb/SP","psdb"
-0.0770385653521585,-0.192127824571213,"Eduardo da Fonte-pp/PE","outros"
0.532744455489045,-0.010608746525333,"Efraim Filho-dem/PB","outros"
-0.222346255277654,-0.0864057113291239,"Elcione Barbalho-pmdb/PA","pmdb"
0.0588857619951522,-0.0112366126187469,"Eli Correa Filho-dem/SP","outros"
0.181483074606844,-0.098679862393674,"Eli Corrêa Filho-dem/SP","outros"
0.19518298217751,-0.191005562497298,"Elizeu Dionizio-s.part./MS","outros"
0.402885815045579,0.516901622142372,"Eliziane Gama-s.part./MA","outros"
0.560461442704171,-0.0268805419289958,"Elmar Nascimento-dem/BA","outros"
-0.688419902591907,0.224368694688431,"Enio Verri-pt/PR","pt"
-0.61218873312757,0.578819666197196,"Erika Kokay-pt/DF","pt"
0.382676578233972,-0.0341016316384893,"Erivelton Santana-psc/BA","outros"
0.0759071756576473,-0.0403626937236961,"Eros Biondini-ptb/MG","outros"
0.497665335527786,0.18727574719387,"Esperidião Amin-pp/SC","outros"
0.299813602678358,-0.0351663746990216,"Evair de Melo-pv/ES","outros"
0.345412402378689,0.241098534565584,"Evandro Gussi-pv/SP","outros"
-0.0768753018521169,-0.267440498558989,"Evandro Roman-psd/PR","outros"
0.479031026580522,0.0751174655584512,"Expedito Netto-solidaried/RO","outros"
-0.0197955510737808,-0.239444936181577,"Ezequiel Fonseca-pp/MT","outros"
0.498917190187192,-0.0376973029139665,"Ezequiel Teixeira-solidaried/RJ","outros"
-0.299725343532357,0.0837726790667012,"Fabiano Horta-pt/RJ","pt"
-0.0605875850609672,-0.208334020496278,"Fábio Faria-psd/RN","outros"
0.344230077557277,0.013315992719772,"Fabio Garcia-psb/MT","outros"
-0.0689518376176353,-0.176910079522133,"Fábio Mitidieri-psd/SE","outros"
-0.236975896610439,-0.149267687279726,"Fábio Ramalho-pv/MG","outros"
-0.0452316453718426,-0.350577101682726,"Fabio Reis-pmdb/SE","pmdb"
0.715974861920355,0.071118285152381,"Fábio Sousa-psdb/GO","psdb"
0.100409029968736,0.0182426124404925,"Fabricio Oliveira-psb/SC","outros"
-0.223048311722694,-0.1676196298787,"Fausto Pinato-prb/SP","outros"
0.155206944003515,-0.17040817572969,"Felipe Bornier-psd/RJ","outros"
0.611975218074053,-0.0064265101333816,"Felipe Maia-dem/RN","outros"
-0.0532721438895228,0.0428377960449846,"Félix Mendonça Júnior-pdt/BA","outros"
0.226117588567685,0.0972236856524503,"Fernando Coelho Filho-psb/PE","outros"
0.225449120876404,-0.000118869162074653,"Fernando Francischini-s.part./PR","outros"
-0.0450263796326297,-0.31543080538264,"Fernando Jordão-pmdb/RJ","pmdb"
-0.654684098405231,0.278746880309836,"Fernando Marroni-pt/RS","pt"
-0.145774871849685,-0.367223668055472,"Fernando Monteiro-pp/PE","outros"
-0.257200665190162,-0.0893855239447397,"Fernando Torres-psd/BA","outros"
-0.177500729675582,0.235934898558042,"Flávia Morais-pdt/GO","outros"
-0.125711841859678,-0.313765436216633,"Flaviano Melo-pmdb/AC","pmdb"
0.481874618032329,0.452850422153147,"Flavinho-psb/SP","outros"
-0.0953522690039979,-0.214998488015104,"Francisco Chapadinha-psd/PA","outros"
-0.116397271116553,-0.225700932218193,"Francisco Floriano-pr/RJ","outros"
-0.480961443536703,0.187651567888389,"Gabriel Guimarães-pt/MG","pt"
