"nome";"partido";"uf"
"Osmar Terra";"pmdb";"RS"
"Otavio Leite";"psdb";"RJ"
"Padre João";"pt";"MG"
"Paes Landim";"ptb";"PI"
"Pastor Eurico";"psb";"PE"
"Pastor Franklin";"ptdob";"MG"
"Pauderney Avelino";"dem";"AM"
"Paulão";"pt";"AL"
"Paulo Abi-Ackel";"psdb";"MG"
"Paulo Azi";"dem";"BA"
"Paulo Feijó";"pr";"RJ"
"Paulo Foletto";"psb";"ES"
"Paulo Freire";"pr";"SP"
"Paulo Magalhães";"psd";"BA"
"Paulo Maluf";"pp";"SP"
"Paulo Pereira da Silva";"solidaried";"SP"
"Paulo Pimenta";"pt";"RS"
"Paulo Teixeira";"pt";"SP"
"Pedro Chaves";"pmdb";"GO"
"Pedro Cunha Lima";"psdb";"PB"
"Pedro Fernandes";"ptb";"MA"
"Pedro Uczai";"pt";"SC"
"Pedro Vilela";"psdb";"AL"
"Penna";"pv";"SP"
"Pompeo de Mattos";"pdt";"RS"
"Pr. Marco Feliciano";"psc";"SP"
"Professor Victório Galli";"psc";"MT"
"Professora Dorinha Seabra Rezende";"dem";"TO"
"Professora Marcivania";"pt";"AP"
"Rafael Motta";"pros";"RN"
"Raimundo Gomes de Matos";"psdb";"CE"
"Raquel Muniz";"psc";"MG"
"Raul Jungmann";"pps";"PE"
"Reginaldo Lopes";"pt";"MG"
"Remídio Monai";"pr";"RR"
"Renata Abreu";"ptn";"SP"
"Renato Molling";"pp";"RS"
"Renzo Braz";"pp";"MG"
"Ricardo Barros";"pp";"PR"
"Ricardo Izar";"psd";"SP"
"Ricardo Teobaldo";"ptb";"PE"
"Ricardo Tripoli";"psdb";"SP"
"Roberto Alves";"prb";"SP"
"Roberto Balestra";"pp";"GO"
"Roberto Britto";"pp";"BA"
"Roberto Freire";"pps";"SP"
"Roberto Góes";"pdt";"AP"
"Roberto Sales";"prb";"RJ"
"Rocha";"psdb";"AC"
"Rodrigo de Castro";"psdb";"MG"
"Rodrigo Maia";"dem";"RJ"
"Rodrigo Martins";"psb";"PI"
"Rodrigo Pacheco";"pmdb";"MG"
"Rogério Marinho";"psdb";"RN"
