id_dep,nome,partido,uf,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Maioridade 1,Maioridade 2,Pensão, Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Transgênico,Voto Facultativo,Voto impresso
73781,Nelson Meurer,pp,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim
74752,Odelmo Leão,pp,MG,sim,não,sim,sim,não,sim,sim,não,sim,não,sim,sim,sim,não,sim
132056,Paulo Maluf,pp,SP,não votou,não votou,sim,sim,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,não,não votou
141527,Renato Molling,pp,RS,sim,sim,sim,sim,sim,sim,sim,não votou,sim,não,sim,sim,sim,sim,sim
160654,Renzo Braz,pp,MG,sim,não votou,sim,sim,sim,sim,sim,sim,sim,não,sim,não votou,sim,não,não votou
73788,Ricardo Barros,pp,PR,não,não votou,sim,sim,sim,não,não,sim,sim,sim,não,sim,não votou,não votou,não votou
73674,Roberto Balestra,pp,GO,não,sim,sim,sim,não votou,sim,sim,não,sim,não votou,sim,sim,sim,sim,sim
141529,Roberto Britto,pp,BA,sim,não,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178861,Ronaldo Carletto,pp,BA,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
74372,Sandes Júnior,pp,GO,sim,sim,sim,sim,não,sim,sim,sim,sim,não,sim,sim,sim,sim,sim
73424,Simão Sessim,pp,RJ,não votou,não votou,não votou,não votou,não votou,sim,sim,sim,não votou,sim,não votou,sim,sim,não votou,não votou
160611,Toninho Pinheiro,pp,MG,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
141558,Waldir Maranhão,pp,MA,não votou,não votou,sim,sim,sim,não,sim,sim,sim,sim,não votou,não votou,não votou,não votou,não votou
178972,Alex Manente,pps,SP,não,sim,não,não,não,sim,sim,não,sim,não,não,sim,sim,sim,sim
160602,Arnaldo Jordy,pps,PA,não,sim,não,não,não,não,não,não,sim,não,não,não,não,sim,sim
164360,Carmen Zanotto,pps,SC,não,sim,não,não,não,não,não,não,sim,não,não,sim,sim,sim,sim
178883,Eliziane Gama,pps,MA,não,sim,não,não,não,não,não,não,sim,não,não,não,não,sim,sim
178849,Hissa Abrahão,pps,AM,não,sim,não,não,não,não,não,não votou,sim,não,não,sim,sim,sim,sim
178880,Marcos Abrão,pps,GO,não,sim,não,não,não,não,sim,não,sim,não,não,sim,sim,sim,sim
178997,Moses Rodrigues,pps,CE,não,sim,sim,não,não,sim,sim,não,sim,não,não,não,sim,sim,sim
74048,Raul Jungmann,pps,PE,não,não votou,não votou,não,não votou,não,não,não,não,não,não,sim,não,não,não votou
73805,Roberto Freire,pps,SP,não,sim,não,não,não,não,não,não votou,sim,não,não,sim,sim,não,abstenção
73466,Rubens Bueno,pps,PR,não,sim,não,não,não,não,não,não,sim,não,não,sim,sim,sim,sim
160621,Sandro Alex,pps,PR,não,sim,não,não,não,sim,sim,não,sim,não,não,sim,sim,sim,sim
141372,Aelton Freitas,pr,MG,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178846,Alfredo Nascimento,pr,AM,não votou,não votou,não,sim,sim,não votou,não votou,sim,sim,sim,não votou,sim,sim,não votou,não votou
178937,Altineu Côrtes,pr,RJ,sim,não votou,não,não votou,sim,sim,sim,sim,sim,não votou,sim,sim,sim,não,sim
160551,Anderson Ferreira,pr,PE,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim
141513,Bilac Pinto,pr,MG,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178865,Cabo Sabino,pr,CE,sim,não,não,sim,não,sim,sim,sim,sim,sim,não,não,não votou,sim,sim
178829,Capitão Augusto,pr,SP,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178939,Clarissa Garotinho,pr,RJ,não,sim,não,não,não,não,não,sim,sim,não,sim,não,não,não,sim
178940,Dr. João,pr,RJ,não,abstenção,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
160677,Francisco Floriano,pr,RJ,sim,abstenção,não,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não,sim
74383,Giacobo,pr,PR,sim,não votou,não,sim,sim,sim,sim,sim,não votou,sim,sim,sim,não votou,não,sim
129618,Gorete Pereira,pr,CE,sim,sim,não votou,não votou,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,não votou,sim
141458,João Carlos Bacelar,pr,BA,não votou,não,não,sim,sim,sim,não votou,sim,sim,sim,sim,não,sim,não,sim
160509,Jorginho Mello,pr,SC,não votou,sim,não,não votou,sim,sim,sim,sim,não votou,sim,não votou,sim,sim,não votou,sim
74554,José Rocha,pr,BA,não votou,sim,não,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não votou,sim
141478,Laerte Bessa,pr,DF,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,não votou,sim
74585,Lincoln Portela,pr,MG,não votou,sim,não,sim,não,sim,sim,sim,sim,não votou,não votou,não,não,não votou,sim
141484,Lúcio Vale,pr,PA,não,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,não,sim
178955,Luiz Cláudio,pr,RO,abstenção,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
162332,Luiz Nishimori,pr,PR,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
166402,Magda Mofatto,pr,GO,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178983,Marcio Alvino,pr,SP,sim,abstenção,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178943,Marcos Soares,pr,RJ,sim,não,não votou,não votou,não votou,sim,sim,sim,sim,não,sim,não votou,abstenção,sim,sim
74050,Maurício Quintella Lessa,pr,AL,sim,abstenção,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,sim
178985,Miguel Lombardi,pr,SP,sim,abstenção,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
74787,Milton Monti,pr,SP,sim,abstenção,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,sim
74017,Paulo Feijó,pr,RJ,não,sim,não votou,não votou,não votou,sim,sim,sim,não votou,não,sim,sim,sim,não,sim
160558,Paulo Freire,pr,SP,não,abstenção,não,sim,não,sim,sim,não,sim,não,sim,não votou,sim,não,sim
178960,Remídio Monai,pr,RR,sim,não,não,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não,sim
187008,Silas Freire,pr,PI,não,sim,não,não,sim,sim,sim,sim,sim,sim,sim,não,não,não,sim
160976,Tiririca,pr,SP,sim,sim,não,sim,sim,sim,sim,sim,sim,não,sim,não,sim,não,sim
