partido,nome_votacao,orientacao_partido
phs,Pensão,sim
pen,Pensão,sim
pt,Pensão,sim
psdb,Pensão,não
prb,Pensão,sim
ptn,Pensão,sim
pmn,Pensão,sim
prp,Pensão,sim
psdc,Pensão,sim
prtb,Pensão,sim
ptc,Pensão,sim
psl,Pensão,sim
ptdob,Pensão,sim
psd,Pensão,sim
pr,Pensão,sim
psb,Pensão,não
dem,Pensão,não
pdt,Pensão,não
solidaried,Pensão,não
pcdob,Pensão,sim
pros,Pensão,sim
pps,Pensão,não
pv,Pensão,liberado
psol,Pensão,não
pp,Lei trabalhista,sim
ptn,Lei trabalhista,sim
ptdob,Lei trabalhista,sim
pmdb,Lei trabalhista,sim
pt,Lei trabalhista,não
psdb,Lei trabalhista,sim
pr,Lei trabalhista,sim
psd,Lei trabalhista,sim
psb,Lei trabalhista,não
dem,Lei trabalhista,sim
ptb,Lei trabalhista,sim
pros,Lei trabalhista,sim
psl,Lei trabalhista,sim
prb,Lei trabalhista,sim
pdt,Lei trabalhista,não
solidaried,Lei trabalhista,não
pcdob,Lei trabalhista,não
psc,Lei trabalhista,sim
pps,Lei trabalhista,sim
phs,Lei trabalhista,liberado
psol,Lei trabalhista,não
pv,Lei trabalhista,sim
rede,Lei trabalhista,não
pen,Lei trabalhista,sim
pmb,Lei trabalhista,não
pmdb,Terrorismo,sim
pp,Terrorismo,sim
ptb,Terrorismo,sim
psc,Terrorismo,sim
phs,Terrorismo,sim
pen,Terrorismo,sim
pt,Terrorismo,sim
psdb,Terrorismo,sim
prb,Terrorismo,sim
ptn,Terrorismo,sim
pmn,Terrorismo,sim
prp,Terrorismo,sim
psdc,Terrorismo,sim
prtb,Terrorismo,sim
ptc,Terrorismo,sim
psl,Terrorismo,sim
ptdob,Terrorismo,sim
pr,Terrorismo,sim
psd,Terrorismo,liberado
psb,Terrorismo,liberado
dem,Terrorismo,sim
pdt,Terrorismo,sim
solidaried,Terrorismo,sim
pcdob,Terrorismo,sim
pros,Terrorismo,sim
pps,Terrorismo,sim
pv,Terrorismo,sim
psol,Terrorismo,não
