id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso
178948,Beto Rosado,pp,RN,sim,sim,não,não,sim,sim,não votou,sim,sim,não votou,sim,não,sim,sim,sim,sim,sim,não,sim
93083,Cacá Leão,pp,BA,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178848,Conceição Sampaio,pp,AM,não,sim,sim,sim,sim,não,abstenção,não,não,não,sim,não,sim,sim,não,sim,sim,sim,sim
178963,Covatti Filho,pp,RS,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não,sim,não,não,sim
73768,Dilceu Sperafico,pp,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
160599,Dimas Fabiano,pp,MG,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim
141421,Eduardo da Fonte,pp,PE,não votou,não,sim,não votou,não votou,não votou,sim,sim,sim,sim,não votou,sim,não votou,sim,não votou,não votou,não votou,não votou,não votou
160649,Esperidião Amin,pp,SC,não,não,não,sim,não,não,sim,sim,sim,não,sim,não,sim,sim,não,sim,não votou,não,sim
178904,Ezequiel Fonseca,pp,MT,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
92699,Fernando Monteiro,pp,PE,sim,sim,não votou,sim,sim,sim,não,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,não votou,sim
160667,Guilherme Mussi,pp,SP,sim,não votou,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,sim
67138,Iracema Portella,pp,PI,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim
74847,Jair Bolsonaro,pp,RJ,não,sim,não,sim,sim,sim,sim,sim,sim,não,sim,não,sim,não votou,não,sim,sim,não,sim
160570,Jerônimo Goergen,pp,RS,sim,não votou,sim,não,sim,sim,sim,sim,sim,não,sim,não,não votou,sim,sim,sim,não,não votou,sim
74388,Jorge Boeira,pp,SC,não votou,não,não votou,não,não,não,não votou,sim,sim,não,sim,não,não,não,não votou,sim,não votou,sim,não votou
74395,José Otávio Germano,pp,RS,sim,não votou,sim,sim,não,não votou,sim,sim,sim,não,não votou,não,não votou,sim,não,sim,não votou,não votou,sim
74253,Julio Lopes,pp,RJ,sim,não,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,não votou,não,sim
73483,Luis Carlos Heinze,pp,RS,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,não,sim,sim,não,sim
141487,Luiz Fernando Faria,pp,MG,sim,sim,sim,sim,sim,não votou,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não votou,não,sim
141480,Lázaro Botelho,pp,TO,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,sim
178932,Marcelo Belinati,pp,PR,sim,não,não,sim,não,não,sim,sim,sim,não,sim,não,não,não,não,não,sim,sim,sim
74235,Marcus Vicente,pp,ES,sim,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,não,não votou,sim,não,sim,sim,não,sim
160561,Missionário José Olimpio,pp,SP,sim,sim,abstenção,sim,sim,não,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,sim,sim
178858,Mário Negromonte Jr.,pp,BA,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não votou,não,sim
73781,Nelson Meurer,pp,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim
74752,Odelmo Leão,pp,MG,sim,sim,não,sim,sim,não,sim,sim,sim,não,sim,não,sim,sim,não,sim,sim,não,sim
