id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer
178942,Marco Antônio Cabral,pmdb,RJ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0
178850,Marcos Rotta,pmdb,AM,1,1,1,1,1,1,1,-1,1,1,0,1,0,1,1,-1,1,1,-1,1,1,1,-1
74177,Marinha Raupp,pmdb,RO,-1,1,1,0,1,0,1,1,0,0,1,1,-1,1,0,1,1,-1,-1,0,1,1,0
181315,Marquinho Mendes,pmdb,RJ,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1
178843,Marx Beltrão,pmdb,AL,1,1,-1,1,1,1,1,-1,1,1,0,0,1,1,1,-1,1,1,-1,1,1,1,0
74749,Mauro Lopes,pmdb,MG,1,-1,0,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,0
141507,Mauro Mariani,pmdb,SC,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,0
124411,Mauro Pereira,pmdb,RS,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0
178997,Moses Rodrigues,pmdb,CE,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0
178896,Newton Cardoso Jr,pmdb,MG,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,0,1,1,0,0,1,0
73463,Osmar Serraglio,pmdb,PR,1,1,-1,1,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,1,-1
