"id_dep","nome","uf","partido","clust"
141422,"Efraim Filho","PB","dem","2"
160532,"Eli Corrêa Filho","SP","dem","2"
181316,"Elizeu Dionizio","MS","psdb","2"
178883,"Eliziane Gama","MA","rede","2"
178854,"Elmar Nascimento","BA","dem","2"
99654,"Erivelton Santana","BA","psc","2"
160649,"Esperidião Amin","SC","pp","2"
178871,"Evair de Melo","ES","pv","2"
178828,"Evandro Gussi","SP","pv","2"
178953,"Expedito Netto","RO","solidaried","2"
178941,"Ezequiel Teixeira","RJ","solidaried","2"
178905,"Fabio Garcia","MT","psb","2"
178877,"Fábio Sousa","GO","psdb","2"
141429,"Felipe Maia","RN","dem","2"
141431,"Fernando Coelho Filho","PE","psb","2"
160646,"Fernando Francischini","PR","solidaried","2"
178978,"Flavinho","SP","psb","2"
160669,"Genecias Noronha","CE","solidaried","2"
178966,"Geovania de Sá","SC","psdb","2"
74270,"Gilberto Nascimento","SP","psc","2"
178878,"Giuseppe Vecci","GO","psdb","2"
152605,"Glauber Braga","RJ","psol","2"
74419,"Gonzaga Patriota","PE","psb","2"
178964,"Heitor Schuch","RS","psb","2"
178909,"Hélio Leite","PA","dem","2"
97707,"Heráclito Fortes","PI","psb","2"
73772,"Hermes Parcianello","PR","pmdb","2"
178849,"Hissa Abrahão","AM","pps","2"
178855,"Irmão Lazaro","BA","psc","2"
73531,"Ivan Valente","SP","psol","2"
4931,"Izalci","DF","psdb","2"
74847,"Jair Bolsonaro","RJ","pp","2"
131943,"Jarbas Vasconcelos","PE","pmdb","2"
160672,"Jean Wyllys","RJ","psol","2"
74273,"Jefferson Campos","SP","psd","2"
160570,"Jerônimo Goergen","RS","pp","2"
178842,"JHC","AL","psb","2"
74366,"João Campos","GO","psdb","2"
74445,"João Castelo","MA","psdb","2"
178917,"João Fernando Coutinho","PE","psb","2"
178856,"João Gualberto","BA","psdb","2"
178988,"João Paulo Papa","SP","psdb","2"
160571,"João Rodrigues","SC","psd","2"
74388,"Jorge Boeira","SC","pp","2"
73535,"Jorge Tadeu Mudalen","SP","dem","2"
74553,"José Carlos Aleluia","BA","dem","2"
74395,"José Otávio Germano","RS","pp","2"
73714,"José Reinaldo","MA","psb","2"
160607,"Jose Stédile","RS","psb","2"
67312,"Júlia Marinho","PA","psc","2"
73586,"Júlio Delgado","MG","psb","2"
74570,"Jutahy Junior","BA","psdb","2"
160659,"Keiko Ota","SP","psb","2"
151208,"Laercio Oliveira","SE","solidaried","2"
178832,"Leandre","PR","pv","2"
160663,"Leopoldo Meyer","PR","psb","2"
74277,"Lobbe Neto","SP","psdb","2"
178879,"Lucas Vergilio","GO","solidaried","2"
178931,"Luciano Ducci","PR","psb","2"
73483,"Luis Carlos Heinze","RS","pp","2"
73778,"Luiz Carlos Hauly","PR","psdb","2"
178982,"Luiz Lauro Filho","SP","psb","2"
160633,"Mandetta","MS","dem","2"
160565,"Mara Gabrilli","SP","psdb","2"
160660,"Marcelo Aguiar","SP","dem","2"
178932,"Marcelo Belinati","PR","pp","2"
178880,"Marcos Abrão","GO","pps","2"
160536,"Marco Tebaldi","SC","psdb","2"
159238,"Marcus Pestana","MG","psdb","2"
64960,"Maria Helena","RR","psb","2"
178956,"Mariana Carvalho","RO","psdb","2"
178919,"Marinaldo Rosendo","PE","psb","2"
178827,"Max Filho","ES","psdb","2"
74428,"Mendonça Filho","PE","dem","2"
178984,"Miguel Haddad","SP","psdb","2"
