ideCadastro,comissão,idParlamentar,nomeParlamentar,partido
160636,,5830752,WILSON FILHO,PTB
178999,,5830695,BRUNNY,PTC
160510,,5830737,LUIS TIBÉ,PTdoB
178928,,5830531,CHRISTIANE DE SOUZA YARED,PTN
178893,,5830363,DELEGADO EDSON MOREIRA,PTN
178989,,5830772,RENATA ABREU,PTN
178830,,5830623,DR. SINVAL MALHEIROS,PV
178871,,5830535,EVAIR DE MELO,PV
178828,,5830649,EVANDRO GUSSI,PV
141427,,5830552,FÁBIO RAMALHO,PV
178832,,5830676,LEANDRE,PV
141563,,5830825,WILLIAM WOO,PV
178927,,5830336,ALIEL MACHADO,REDE
178883,,5830448,ELIZIANE GAMA,REDE
178965,,5830412,JOÃO DERLY,REDE
74862,,5830684,MIRO TEIXEIRA,REDE
178938,,5830757,CABO DACIOLO,S.PART.
160600,,5830788,ARTHUR OLIVEIRA MAIA,SD
73655,,5830433,AUGUSTO CARVALHO,SD
160665,,5830811,AUGUSTO COUTINHO,SD
160512,,5830465,AUREO,SD
74040,,5830769,BENJAMIN MARANHÃO,SD
74163,,5830639,CARLOS MANATO,SD
178953,,5830550,EXPEDITO NETTO,SD
160669,,5830384,GENECIAS NORONHA,SD
151208,,5830362,LAERCIO OLIVEIRA,SD
178879,,5830727,LUCAS VERGILIO,SD
151965,,5830841,MAINHA,SD
73930,,5830474,WLADIMIR COSTA,SD
160632,,5830504,ZÉ SILVA,SD
