id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
178841;CiceroAlmeida;Cícero Almeida;psd;AL;sim;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;SIM
178841;CiceroAlmeida;Cícero Almeida;prtb;AL;não votou;sim;sim;sim;sim;sim;sim;não;não votou;sim;sim;sim;sim;não;não;sim;não;sim;sim;SIM
178939;ClarissaGarotinho;Clarissa Garotinho;pr;RJ;sim;sim;não votou;sim;não;não;não;não;não;não;não;sim;sim;sim;não;sim;não;sim;não;AUSEN
74537;ClaudioCajado;Claudio Cajado;dem;BA;não votou;não votou;sim;não votou;sim;sim;sim;sim;não votou;sim;sim;sim;não votou;sim;sim;não votou;sim;não votou;não votou;SIM
141408;CleberVerde;Cleber Verde;prb;MA;sim;não votou;sim;não votou;sim;sim;sim;não;sim;não;sim;sim;sim;sim;sim;não votou;não votou;sim;não votou;SIM
178963;CovattiFilho;Covatti Filho;pp;RS;sim;não;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;SIM
93472;CristianeBrasil;Cristiane Brasil;ptb;RJ;não votou;não votou;não votou;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;não;não;não votou;não votou;não votou;não votou;SIM
141411;Dagoberto;Dagoberto;pdt;MS;sim;não;sim;sim;não;não;não;não;sim;não;sim;sim;sim;não;não;sim;não;sim;sim;NAO
74467;DamiaoFeliciano;Damião Feliciano;pdt;PB;não;sim;sim;sim;não;não;não;não;não;não;não;sim;sim;não;não;não votou;não votou;sim;não votou;NAO
178892;DaminaPereira;Dâmina Pereira;pmn;MG;sim;não votou;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não votou;sim;sim;sim;não;não votou;sim;SIM
74060;DanielAlmeida;Daniel Almeida;pcdob;BA;não;não;sim;não;não;não;não;não;não;sim;não;sim;sim;sim;sim;não;não;sim;não;NAO
178916;DanielCoelho;Daniel Coelho;psdb;PE;sim;sim;não;abstção;sim;sim;sim;abstenção;sim;sim;não;sim;sim;não;não;sim;sim;sim;não;SIM
144523;DanielVilela;Daniel Vilela;pmdb;GO;não;não votou;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;SIM
62881;DaniloForte;Danilo Forte;pmdb;CE;não votou;não votou;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;não;sim;não;sim;sim;SIM
160552;DanrleideDeusHinterholz;Danrlei de Deus Hinterholz;psd;RS;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
73891;DarcisioPerondi;Darcísio Perondi;pmdb;RS;sim;não;sim;não;não;não;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;não;SIM
101309;DavidsonMagalhaes;Davidson Magalhães;pcdob;BA;não;não;sim;não;não;não;não;não;não;sim;não;sim;sim;sim;sim;não;não;sim;não;NAO
141413;DecioLima;Décio Lima;pt;SC;não;sim;não votou;não;não;não;não;não;não;não;não;sim;sim;não votou;sim;sim;não votou;sim;não;NAO
178908;DelegadoEderMauro;Delegado Éder Mauro;psd;PA;não;sim;sim;sim;sim;sim;sim;sim;abstenção;não;sim;sim;sim;não;sim;sim;não;sim;não;SIM
178893;DelegadoEdsonMoreira;Delegado Edson Moreira;ptn;MG;não;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim;sim;não;não;sim;não;SIM
164359;DelegadoWaldir;Delegado Waldir;psdb;GO;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;sim;sim;sim;SIM
74172;Deley;Deley;ptb;RJ;sim;abstção;sim;sim;não;não votou;sim;sim;não;sim;não;sim;sim;não;não;não votou;não votou;sim;não votou;SIM
160588;DiegoAndrade;Diego Andrade;psd;MG;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não votou;sim;sim;não votou;não votou;sim;não votou;SIM
178929;DiegoGarcia;Diego Garcia;phs;PR;não votou;sim;sim;sim;não;não;sim;não;não;sim;sim;sim;não;sim;não;sim;não;sim;não;SIM
73768;DilceuSperafico;Dilceu Sperafico;pp;PR;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
